Wall vel: 2
1.000000	0.398260
1.015075	0.398260
1.030301	0.398260
1.045678	0.398260
1.061208	0.398260
1.076891	0.398260
1.092727	0.398260
1.108718	0.398260
1.124864	0.398260
1.141166	0.398260
1.157625	0.398260
1.174241	0.398260
1.191016	0.398260
1.207950	0.398260
1.225043	0.398260
1.242297	0.398260
1.259712	0.398260
1.277289	0.398260
1.295029	0.398260
1.312932	0.398260
1.331000	0.398260
1.349233	0.398260
1.367631	0.398260
1.386196	0.398260
1.404928	0.398260
1.423828	0.398260
1.442897	0.398260
1.462135	0.398260
1.481544	0.398260
1.501124	0.398260
1.520875	0.398260
1.540799	0.398260
1.560896	0.398260
1.581167	0.398260
1.601613	0.398260
1.622234	0.398260
1.643032	0.398260
1.664007	0.398260
1.685159	0.398260
1.706490	0.398260
1.728000	0.398260
1.749690	0.398260
1.771561	0.398260
1.793613	0.398260
1.815848	0.398260
1.838266	0.398260
1.860867	0.398260
1.883653	0.398260
1.906624	0.398260
1.929781	0.398260
1.953125	0.398260
1.976656	0.398260
2.000376	0.398260
2.024285	0.398260
2.048383	0.398260
2.072672	0.398260
2.097152	0.398260
2.121824	0.398260
2.146689	0.398260
2.171747	0.398260
2.197000	0.398260
2.222448	0.398260
2.248091	0.398260
2.273931	0.398260
2.299968	0.398260
2.326203	0.398260
2.352637	0.398260
2.379270	0.398260
2.406104	0.398260
2.433139	0.398260
2.460375	0.398260
2.487814	0.398260
2.515456	0.398260
2.543302	0.398260
2.571353	0.398260
2.599609	0.398260
2.628072	0.398260
2.656742	0.398260
2.685619	0.398260
2.714705	0.398260
2.744000	0.398260
2.773505	0.398260
2.803221	0.398260
2.833148	0.398260
2.863288	0.398260
2.893641	0.398260
2.924207	0.398260
2.954988	0.398260
2.985984	0.398260
3.017196	0.398260
3.048625	0.398260
3.080271	0.398260
3.112136	0.398260
3.144220	0.398260
3.176523	0.398260
3.209047	0.398260
3.241792	0.398260
3.274759	0.398260
3.307949	0.398260
3.341362	0.398260
3.375000	0.398260
3.408863	0.398260
3.442951	0.398260
3.477266	0.398260
3.511808	0.398260
3.546578	0.398260
3.581577	0.398260
3.616805	0.398260
3.652264	0.398260
3.687954	0.398260
3.723875	0.398260
3.760029	0.398260
3.796416	0.398260
3.833037	0.398260
3.869893	0.398260
3.906984	0.398260
3.944312	0.398260
3.981877	0.398260
4.019679	0.398260
4.057720	0.398260
4.096000	0.398260
4.134520	0.398260
4.173281	0.398260
4.212283	0.398260
4.251528	0.398260
4.291016	0.398260
4.330747	0.398260
4.370723	0.398260
4.410944	0.398260
4.451411	0.398260
4.492125	0.398260
4.533086	0.398260
4.574296	0.398260
4.615755	0.398260
4.657463	0.398260
4.699422	0.398260
4.741632	0.398260
4.784094	0.398260
4.826809	0.398260
4.869777	0.398260
4.913000	0.398260
4.956478	0.398260
5.000211	0.398260
5.044201	0.398260
5.088448	0.398260
5.132953	0.398260
5.177717	0.398260
5.222740	0.398260
5.268024	0.398260
5.313569	0.398260
5.359375	0.398260
5.405444	0.398260
5.451776	0.398260
5.498372	0.398260
5.545233	0.398260
5.592359	0.398260
5.639752	0.398260
5.687412	0.398260
5.735339	0.398260
5.783535	0.398260
5.832000	0.398260
5.880735	0.398260
5.929741	0.398260
5.979018	0.398260
6.028568	0.398260
6.078391	0.398260
6.128487	0.398260
6.178858	0.398260
6.229504	0.398260
6.280426	0.398260
6.331625	0.398260
6.383101	0.398260
6.434856	0.398260
6.486890	0.398260
6.539203	0.398260
6.591797	0.398260
6.644672	0.398260
6.697829	0.398260
6.751269	0.398260
6.804992	0.398260
6.859000	0.398260
6.913293	0.398260
6.967871	0.398260
7.022736	0.398260
7.077888	0.398260
7.133328	0.398260
7.189057	0.398260
7.245075	0.398260
7.301384	0.398260
7.357984	0.398260
7.414875	0.398260
7.472059	0.398260
7.529536	0.398260
7.587307	0.398260
7.645373	0.398260
7.703734	0.398260
7.762392	0.398260
7.821347	0.398260
7.880599	0.398260
7.940150	0.398260
